x,y,t,id
-73.9042594,42.8418856,2010-02-09T17:01:23Z,1016
-73.9025698,42.841286,2010-02-09T17:28:56Z,1016
-73.9024245,42.8413244,2010-02-09T17:31:29Z,1016
-73.9024543,42.8413912,2010-02-09T17:33:22Z,1016
-73.9025771,42.841409,2010-02-09T17:35:35Z,1016
-73.9024203,42.8414366,2010-02-09T17:36:10Z,1016
-73.9026345,42.8416854,2010-02-09T17:43:04Z,1016
-73.9024396,42.8413578,2010-02-09T17:45:21Z,1016
-73.9023933,42.8414115,2010-02-09T17:51:21Z,1016
-73.9025558,42.841398,2010-02-09T17:53:39Z,1016
-73.9024212,42.8413955,2010-02-09T17:54:18Z,1016
-73.9023894,42.8414114,2010-02-09T18:09:18Z,1016
-73.9027507,42.8413647,2010-02-09T18:15:49Z,1016
-73.9026163,42.8413654,2010-02-09T18:16:33Z,1016
-73.9023567,42.8413468,2010-02-09T18:18:09Z,1016
-73.9023548,42.8413727,2010-02-09T18:21:40Z,1016
-73.9023659,42.8413748,2010-02-09T18:22:24Z,1016
-73.9023529,42.8414872,2010-02-09T18:30:10Z,1016
-73.9028615,42.8415543,2010-02-09T19:00:46Z,1016
-73.9025371,42.8412528,2010-02-09T20:01:22Z,1016
-73.9024049,42.8412945,2010-02-09T20:51:58Z,1016
-73.9023459,42.8413115,2010-02-09T20:52:26Z,1016
-73.9026552,42.8415078,2010-02-09T20:54:46Z,1016
-73.902579,42.8413643,2010-02-09T20:56:09Z,1016
-73.9024675,42.8414232,2010-02-09T20:58:51Z,1016
-73.9025183,42.8414998,2010-02-09T21:00:39Z,1016
-73.9025818,42.8413867,2010-02-09T21:02:26Z,1016
-73.9027454,42.8413106,2010-02-09T21:10:58Z,1016
-73.8993185,42.8402367,2010-02-09T21:44:16Z,1016
-73.8981834,42.8392846,2010-02-09T21:46:04Z,1016
-73.8988839,42.836462,2010-02-09T21:52:56Z,1016
-73.8973056,42.8364351,2010-02-09T21:58:14Z,1016
-73.8972523,42.8363934,2010-02-09T22:02:01Z,1016
-73.8972351,42.836307,2010-02-09T22:08:23Z,1016
-73.8971731,42.8362949,2010-02-09T22:10:09Z,1016
-73.8972249,42.8364049,2010-02-09T22:20:35Z,1016
-73.8972787,42.8363688,2010-02-09T23:00:29Z,1016
-73.8974105,42.8364011,2010-02-10T00:00:50Z,1016
-73.8973134,42.8364021,2010-02-10T01:00:18Z,1016
-73.8972676,42.8364349,2010-02-10T02:01:00Z,1016
-73.8972061,42.8364743,2010-02-10T03:00:36Z,1016
-73.8975102,42.8357895,2010-02-10T03:04:59Z,1016
-73.8970341,42.8346935,2010-02-10T03:10:40Z,1016
-73.8970084,42.8347106,2010-02-10T03:12:21Z,1016
-73.8969755,42.8347164,2010-02-10T03:14:11Z,1016
-73.89694,42.8347126,2010-02-10T03:16:12Z,1016
-73.8970495,42.8346069,2010-02-10T03:18:08Z,1016
-73.8970262,42.834747,2010-02-10T03:20:10Z,1016
-73.8967802,42.8344161,2010-02-10T03:22:14Z,1016
-73.8969893,42.8347334,2010-02-10T03:24:13Z,1016
-73.897066,42.8346987,2010-02-10T03:26:10Z,1016
-73.8970263,42.8346781,2010-02-10T03:28:40Z,1016
-73.896942,42.8345712,2010-02-10T03:30:24Z,1016
-73.8970505,42.8346323,2010-02-10T03:40:46Z,1016
-73.8970206,42.83474,2010-02-10T04:00:54Z,1016
-73.8970087,42.8346826,2010-02-10T05:00:44Z,1016
-73.8970516,42.8346298,2010-02-10T05:10:14Z,1016
-73.8970503,42.8346555,2010-02-10T05:20:27Z,1016
-73.897032,42.8346562,2010-02-10T06:00:56Z,1016
-73.8970518,42.8345376,2010-02-10T06:58:24Z,1016
-73.8970596,42.8346447,2010-02-10T07:00:52Z,1016
-73.8973752,42.8351391,2010-02-10T07:02:59Z,1016
-73.8970111,42.8346626,2010-02-10T07:04:07Z,1016
-73.8970269,42.8346373,2010-02-10T07:06:08Z,1016
-73.8969755,42.8346382,2010-02-10T07:08:23Z,1016
-73.8970475,42.8346964,2010-02-10T07:10:10Z,1016
-73.8956241,42.8346532,2010-02-10T07:20:39Z,1016
-73.8956855,42.8347445,2010-02-10T07:22:17Z,1016
-73.8955788,42.8348944,2010-02-10T07:24:09Z,1016
-73.8955196,42.8353442,2010-02-10T07:26:09Z,1016
-73.8951749,42.8353897,2010-02-10T07:28:06Z,1016
-73.8946401,42.8361501,2010-02-10T07:30:05Z,1016
-73.8938246,42.8361005,2010-02-10T07:32:08Z,1016
-73.8927665,42.8364566,2010-02-10T07:34:11Z,1016
-73.8922206,42.8362526,2010-02-10T07:36:07Z,1016
-73.8915156,42.8362741,2010-02-10T07:38:11Z,1016
-73.8902523,42.8357634,2010-02-10T07:40:12Z,1016
-73.8898696,42.8352475,2010-02-10T07:42:10Z,1016
-73.8883528,42.834653,2010-02-10T07:45:19Z,1016
-73.8879692,42.8345688,2010-02-10T07:47:55Z,1016
-73.8875882,42.8344892,2010-02-10T07:48:07Z,1016
-73.8831401,42.8341965,2010-02-10T07:55:22Z,1016
-73.8831674,42.8342315,2010-02-10T07:56:53Z,1016
-73.8831631,42.8341975,2010-02-10T07:58:47Z,1016
-73.8827204,42.8341584,2010-02-10T08:00:06Z,1016
-73.8809141,42.8340501,2010-02-10T08:02:59Z,1016
-73.8805547,42.8340069,2010-02-10T08:04:04Z,1016
-73.8802313,42.8336412,2010-02-10T08:11:01Z,1016
-73.8804736,42.8336592,2010-02-10T08:12:59Z,1016
-73.8803325,42.8335832,2010-02-10T08:14:07Z,1016
-73.8799567,42.8333097,2010-02-10T08:16:08Z,1016
-73.8793373,42.8333784,2010-02-10T08:18:29Z,1016
-73.8793103,42.8337614,2010-02-10T08:20:55Z,1016
-73.8796951,42.8344447,2010-02-10T08:22:06Z,1016
-73.8798777,42.835685,2010-02-10T08:24:08Z,1016
-73.8798932,42.8359652,2010-02-10T08:26:09Z,1016
-73.8795936,42.8360164,2010-02-10T08:29:07Z,1016
-73.8797315,42.836232,2010-02-10T08:31:07Z,1016
